conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1674555285032275969,Thu Jun 29 23:07:46 +0000 2023,0,Penumpang AirAsia ke Bali Merana: Pesawat Telat Bagasi Belum Ikut Terbang https://t.co/dYRFSuUR8s,1674555285032275969,NaN,NaN,in,Indonesia,0,0,0,https://x.com/detikTravel/status/1674555285032275969,240113510,detikTravel
1674458310043648000,Thu Jun 29 16:42:25 +0000 2023,0,@airasia_indo bagaimana cara menukar pembelian bagasi tambahan karena saya salah pesan,1674458310043648000,NaN,airasia_indo,in,NaN,0,0,0,https://x.com/sinth_rich/status/1674458310043648000,72803840,sinth_rich
1674457174700085251,Thu Jun 29 16:37:55 +0000 2023,0,Aku dapat offer legal intern dkt Airasia. Alhamdulillah ,1674457174700085251,NaN,NaN,in,NaN,0,0,0,https://x.com/amnzraa/status/1674457174700085251,1384095198821556227,amnzraa
1674438248922513408,Thu Jun 29 15:22:42 +0000 2023,1,Masalahnya aku ni cun cun 170cm kadang-kadang boleh jadi 169cm hmmmm tapi nak try Airasia,1674438248922513408,NaN,NaN,in,Petaling Jaya, Selangor,1,2,0,https://x.com/purapuralup4/status/1674438248922513408,"1057810854186373120,purapuralup4"
1674438197504536576,Thu Jun 29 15:22:30 +0000 2023,0,Apehal aku premium hotseat? Tak order pun tiber je airasia ni,1674438197504536576,NaN,NaN,in,Malaysia,0,1,0,https://x.com/EastMister0822/status/1674438197504536576,4313010322,EastMister0822
1674429490494332938,Thu Jun 29 14:47:54 +0000 2023,1,ada yang mau ikut recruitment air asia gaaak tanggal 15 juli???? #pramugari #flightattendant #airasia,1674429490494332938,NaN,NaN,in,NaN,0,2,0,https://x.com/jeongwoobraga/status/1674429490494332938,1619682452657815554,jeongwoobraga
1674425285104766978,Thu Jun 29 14:31:11 +0000 2023,0,@airasia_indo @AVA_airasia dr 2021 smp skr knp REFUND SY tdk di kembalikan????? REFUND seharga hrg tiket dr dulu smp skr blm jg di balikin ke debit rekening sy!! Pdhl sy dl byr pk debit rekening hrs nya di kembalikan ke debit rekening jg kan??!!!! #cumajanjidoank #PHP #OMDO,1674425285104766978,NaN,airasia_indo,in,ÜT: -6.20764,106.79631,0,0,0,https://x.com/veren_fun/status/1674425285104766978,"71982900,veren_fun"
1674416925546532868,Thu Jun 29 13:57:58 +0000 2023,64,Bagasi di tinggal flight maskapai Air Asia dari Bandung ke Bandara I Gusti Ngurah Rai. Di tanya konpensasi nya apa jawab nya nanti kami hubungi di beri nomor telepon oleh pihak maskapai tp tidak aktif. (-) Tanggung jawab @airasia @airasia_indo https://t.co/kwoJVEEe4A,1674416925546532868,https://pbs.twimg.com/ext_tw_video_thumb/1674416758755823618/pu/img/NlWbKpHVQGq174jP.jpg,NaN,in,NaN,9,7,31,https://x.com/mega_dwilestari/status/1674416925546532868,182748419,mega_dwilestari
1674403923808120833,Thu Jun 29 13:06:19 +0000 2023,0,Tiap kali naik Airasia je kene sidai,1674403923808120833,NaN,NaN,in,Putrajaya Federal Territory, Malaysia,0,0,0,https://x.com/aqilisyraf/status/1674403923808120833,"325361599,aqilisyraf"
1674399375433539584,Thu Jun 29 12:48:14 +0000 2023,1,tadi kan naik airasia ride gitu terus udah curiga drivernya orang indo soalnya namanya indo bgt??? tapi pas ngomong kok logatnya malaysia puol. eh ternyata pas kenalan sama beliau beliau orang gunung kidul dong lucu banget logatnya langsung ganti medok jawa ,1674399375433539584,NaN,NaN,in,NaN,0,0,0,https://x.com/sunskieseu/status/1674399375433539584,273201626,sunskieseu
1674395565633998850,Thu Jun 29 12:33:06 +0000 2023,0,Macam biasa kena sidai dengan Airasia,1674395565633998850,NaN,NaN,in,NaN,0,0,0,https://x.com/danny_asyrf/status/1674395565633998850,2927476423,danny_asyrf
1674376493395496960,Thu Jun 29 11:39:28 +0000 2023,0,@atikahmatrasid Ye doh!!!!! Masalahnya tengah beratur nak boarding pun aku buka apps airasia nak beli tiket da kenapa?! Da addicted da macam apps shoppee,1674382068875395073,NaN,atikahmatrasid,in,NaN,1,0,0,https://x.com/Amaninaalwani/status/1674382068875395073,82606005,Amaninaalwani
1674357296879771648,Thu Jun 29 10:43:12 +0000 2023,0,@idrisrazak_ Cam biasa AirAsia,1674367908577968128,NaN,idrisrazak_,in,Nasi Kandaq Pulau Pinang,0,1,0,https://x.com/monoluque_/status/1674367908577968128,87646704,monoluque_
1674295556661977089,Thu Jun 29 09:52:30 +0000 2023,0,@verccuan @Wavebridgelabs @airasia_indo @KAI121 Asisten Digital DANA siap bantu keluhan transaksi kamu: Buka app DANA pilih History/Riwayat pilih transaksi yg mau dilaporin dan pilih CHAT.,1674355151149363201,NaN,verccuan,in,DKI Jakarta, Indonesia,0,0,0,https://x.com/danawallet/status/1674355151149363201,"965871936545816577,danawallet"
